Breads and Crackers,Drinks and Beverages,Panini/Sandwich bar,Dressings,Topping and Sides,Ice Cream and Soft Serve,Fruit,Yogurts and Cheese,Spices and Sauces,Jams and Spreads,Select Menu Items,Gluten free
Dakota bread,Orange Juice,Honey mustard,Italian Herb Dressing,Caramel dessert topping,Chocolate chip ice cream,Oranges,Plain yogurt,Cayenne pepper,Strawberry rhubarb cream cheese,White Rice,Gluten-Free Tortilla Wrap
English muffin,Apple Juice,Mayonnaise,Tomato French,Chocolate syrup,Orange pineapple Ice Cream,Apples,Strawberry yogurt,Cajun seasoning,Butter,Basmati Rice,Gluten-Free Whole Grain Bread
Gyro bread,Cranberry Juice,Dijon mustard,Balsamic Vinaigrette,Chocolate jimmies,Maple walnut,Grapefruit,Vanilla yogurt,Crushed red pepper,Cream Cheese,Eggs To Order,Gluten-Free Cinnamon Raisin Bread
Spinach wrap,Passion Orange Guava Juice,Ham,Creamy Caesar,Rainbow sprinklea,Mocha mud pie,Bananas,Cottage cheese,Ground cumin seed,Strawberry jam,Grilled Chicken Thighs,Gluten-Free White Bread
Whole wheat wrap,Hot Cocoa,Turkey,Buttermilk Ranch,White chocolate chips,Vanilla Ice Cream,Canned peaches,Shredded Monterey Jack and cheddar cheese,Curry powder,Grape jelly,Chicken Parmesan,
Lavash wrap,Hot Water,Salami,Herb Dressing,Chocolate chips,Vanilla soft serve,Apple sauce,Blended cheese,Granulated garlic,Apricot jam,Ziti Pasta,
Pita bread,Coffee,Lettuce,Rasberry Vinaigrette,Cinnamon sugar,Chocolate frozen yogurt,Canned Pears,Cheddar cheese,Onion powder,Raspberry jam,Whole Wheat Pasta,
Country white bread,Decaffeinated coffee,Tomatoes,Catalina Style,Cinnamon,Fudge Ripple Ice Cream,,American cheese,Balsamic vinegar,Brown sugar,Rice Noodles,
Country potato bread,Hazelnut cream,Black beans,Creamy Cucumber,Sugar,Coffee Heath Ice Cream,,Swiss cheese,Sriracha chili sauce,,Fried Rice,
12 grain bread,Club soda,Refrained beans,Maple Mustard,Honey,Black Raspberry Ice Cream,,Feta Cheese,Tabasco,Creamy peanut butter,Oatmeal,
Oat Nut Bread,Water,Pickles,Russian,Lemon slices,Butter Scotch Ice Cream,,,Oregano,Natural peanut butter,Hard Boiled Eggs,
Whole wheat,Root beer,Peppers,,Splenda,Pineapple Ice Cream,,,Basil,,Tri Colored Tortellini,
Saltine crackers,Diet Pepsi,Sour cream,,Sweet'n low,,,,Chili powder,,Roast Pork Loin,
Ritz crackers,Pepsi soda,Salsa,,Coffee mate,,,,Canola and olive oil,,Cocktail Sauce,
Oyster crackers,Mountain Dew,,,Half & half,,,,Franks hot sauce,,Tofu with Kale,
French Rolls,Schweppes,,,Chocolate fudge hot sundae topping,,,,Olive oil,,French Toast,
Blueberry Bagel,Lemonade,,,Raisins,,,,Sesame oil,,Pancakes,
Sesame Bagel,Iced tea,,,Sugar Cone,,,,Soy sauce,,Sausage,
Plain Bagel,Green Tea,,,Waffle Cone,,,,Red Italian style vinegar,,Sausage Patties,
Onion Bagel,Earl grey Tea,,,,,,,Cider vinegar,,Waffles,
,English Teatime Tea,,,,,,,Lemon juice,,Green Beans,
,Plantation Mint Tea,,,,,,,Ketchup,,Fries,
,Orange and spice Tea,,,,,,,A1 Sauce,,Spicy Black Bean Burgers,
,Cozy chamomile Tea,,,,,,,Tartar Sauce,,Onion Rings,
,Constant comment Tea,,,,,,,,,Hamburgers,
,Darjeeling Tea,,,,,,,,,Hot Dogs,
,I Love Lemon Tea,,,,,,,,,Black Bean Burgers,
,Cinnamon apple,,,,,,,,,Chicken Thighs,
,2% milk,,,,,,,,,Seasoned Diced Potatoes,
,Skim milk,,,,,,,,,Cream Of Wheat,
,Chocolate milk,,,,,,,,,Brown Rice,
,Soy milk,,,,,,,,,Stuffed Shells,
,Lactaid milk,,,,,,,,,Corn Bread Stuffing,
,Almond milk,,,,,,,,,Mashed Potatoes,
,Rice milk,,,,,,,,,Chicken Fajita,
,,,,,,,,,,Vegetarian Fajita,
,,,,,,,,,,Taco Beef,
,,,,,,,,,,Nacho Cheese Sauce,
,,,,,,,,,,Spanish Rice,
,,,,,,,,,,Snow Bowl Chili,
,,,,,,,,,,Bacon,
,,,,,,,,,,Turkey Sausage Links,
,,,,,,,,,,Scrambled Eggs,
,,,,,,,,,,Scrambled Eggs with Cheese,
,,,,,,,,,,Hash Brown Patties,
,,,,,,,,,,Ham and Cheese Omelet,
,,,,,,,,,,Roast Turkey,
,,,,,,,,,,Cauliflower,
