Meals,Type of Dish,Food Descriptors,Health & Diet,Other,Timing,Season,World Cuisine
Appetizer,Baked Good ,Acidic,Allergies,Proctor,Easy,Autumn,African 
Breakfast,Beverage ,Acrid,Gluten-Free,Ross,Quick,Spring,Asian 
Dessert,Bread ,Aged,Healthy,Atwater,Slow,Summer,Australian 
High Tea,Cake ,Bitter,Low-Carb,Battell,Closing Time,Winter,British 
Lunch,Candy ,Bittersweet,Low-Sugar,Gifford,,Fall,Canadian 
Main Dish,Casserole ,Bland,Meatless,Hepburn,,,Chinese 
Side Dish,Condiments ,Burnt,Vegan,Post-Game,,,European 
Supper,Cookie ,Buttery,Vegetarian,Post-Workout,,,French 
Dinner,Crackers ,Chalky,Organic,Pre-Game,,,German 
Second Dinner,Jams,Cheesy,,Pregame,,,Greek 
,Panini,Crusty,,Alcoholic,,,Indian 
,Pasta ,Chewy,,Pikachu,,,Italian 
,Pizza ,Chocolaty,,Panther,,,Japanese 
,Restaurant,Citrusy,,Pearsons,,,Latin American 
,Rice,Doughy,,Lib,,,Mediterranean 
,Sandwich ,Cool,,Finals,,,Mexican 
,Sauce ,Creamy,,Feb,,,Middle Eastern 
,Snack,Crispy,,Reg,,,Moroccan 
,Soup ,Crumbly,,J-Term,,,Portuguese 
,Spice Mix ,Crunchy,,ADK,,,Spanish 
,Salad,Dry,,Road,,,Thai 
,Drink,Earthy,,Allen,,,Vietnamese 
,Stir-Fry,Eggy,,Original,,,
,,Fatty,,Authentic,,,
,,Fermented,,,,,
,,Fiery,,,,,
,,Fishy,,,,,
,,Fizzy,,,,,
,,Flakey,,,,,
,,Flat,,,,,
,,Flavorful,,,,,
,,Fresh,,,,,
,,Fried,,,,,
,,Fruity,,,,,
,,Full-bodied,,,,,
,,,,,,,
,,Garlicky,,,,,
,,Gelatinous,,,,,
,,Gingery,,,,,
,,Glazed,,,,,
,,Grainy,,,,,
,,Greasy,,,,,
,,Gooey,,,,,
,,Gritty,,,,,
,,Harsh,,,,,
,,Hearty,,,,,
,,Heavy,,,,,
,,Herbal,,,,,
,,Hot,,,,,
,,Icy,,,,,
,,Infused,,,,,
,,Juicy,,,,,
,,Lean,,,,,
,,Light,,,,,
,,Lemony,,,,,
,,Malty,,,,,
,,Mashed,,,,,
,,Meaty,,,,,
,,Mellow,,,,,
,,Mild,,,,,
,,Minty,,,,,
,,Moist,,,,,
,,Mushy,,,,,
,,Nutty,,,,,
,,Oily,,,,,
,,Oniony,,,,,
,,Overripe,,,,,
,,Pasty,,,,,
,,Peppery,,,,,
,,Pickled,,,,,
,,Plain,,,,,
,,Powdery,,,,,
,,Raw,,,,,
,,Refreshing,,,,,
,,Rich,,,,,
,,Ripe,,,,,
,,Roasted,,,,,
,,Robust,,,,,
,,Rubbery,,,,,
,,Runny,,,,,
,,Salty,,,,,
,,Sautéed,,,,,
,,Savory,,,,,
,,Seared,,,,,
,,Seasoned,,,,,
,,Sharp,,,,,
,,Silky,,,,,
,,Slimy,,,,,
,,Smokey,,,,,
,,Smothered,,,,,
,,Smooth,,,,,
,,Soggy,,,,,
,,Soupy,,,,,
,,Sour,,,,,
,,Spicy,,,,,
,,Spongy,,,,,
,,Stale,,,,,
,,Sticky,,,,,
,,Stale,,,,,
,,Stringy,,,,,
,,Strong,,,,,
,,Sweet,,,,,
,,Sweet-and-sour,,,,,
,,Syrupy,,,,,
,,Tangy,,,,,
,,Tart,,,,,
,,Tasteless,,,,,
,,Tender,,,,,
,,Toasted,,,,,
,,Tough,,,,,
,,Unflavored,,,,,
,,Unseasoned,,,,,
,,Velvety,,,,,
,,Vinegary,,,,,
,,Watery,,,,,
,,Whipped,,,,,
,,Woody,,,,,
,,Yeasty,,,,,
,,Zesty,,,,,
,,Zingy,,,,,
